ecfp_feature_1,ecfp_feature_2,ecfp_feature_3,ecfp_feature_10,ecfp_feature_12,ecfp_feature_16,ecfp_feature_19,ecfp_feature_22,ecfp_feature_27,ecfp_feature_29,ecfp_feature_30,ecfp_feature_33,ecfp_feature_34,ecfp_feature_36,ecfp_feature_38,ecfp_feature_39,ecfp_feature_45,ecfp_feature_54,ecfp_feature_55,ecfp_feature_58,ecfp_feature_73,ecfp_feature_78,ecfp_feature_80,ecfp_feature_81,ecfp_feature_86,ecfp_feature_90,ecfp_feature_94,ecfp_feature_99,ecfp_feature_100,ecfp_feature_104,ecfp_feature_105,ecfp_feature_108,ecfp_feature_110,ecfp_feature_111,ecfp_feature_121,ecfp_feature_122,ecfp_feature_123,ecfp_feature_125,smiles
1,0,1,0,2,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,2,0,0,0,4,0,OC1CC2C(C#C)C12
1,0,1,1,1,1,3,0,2,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,C#CC1C2CCC1O2
1,0,0,1,0,2,2,1,2,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,2,N#CC1C2CCC1O2
1,0,0,1,0,2,2,0,2,0,3,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,COC1C2CCC1O2
1,0,1,1,1,2,0,0,3,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,4,0,C1C2OC3COC3C12
0,1,0,1,0,0,1,1,0,1,0,0,2,0,1,0,1,0,0,0,1,2,0,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,C#Cc1c(nc[nH]1)C#N
1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,c1cc(oc1)NCC#N
0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,3,1,1,1,0,1,1,0,0,1,0,0,0,0,0,c1cocc1CCC#N
0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,2,0,1,1,1,1,0,1,0,0,1,0,1,1,0,C(C1CO1)C1=CN=CN1
0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,1,3,1,1,2,0,1,1,0,0,1,0,0,0,1,0,c1cocc1CC2CC2
0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,3,2,2,2,1,1,0,0,0,1,0,0,0,1,0,C(C1CN1)C1=COC=C1
0,0,1,0,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3,1,1,2,0,1,0,1,0,2,1,0,0,1,0,C(C1CO1)C1=COC=C1
0,0,0,0,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,2,2,0,1,0,0,2,0,1,0,0,1,1,1,2,0,C1C2CC1C1=C2NC=N1
0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,2,0,0,2,1,1,0,0,2,0,0,0,1,0,0,0,2,0,C1C2OC3=C(C=CN3)C12
0,0,1,0,1,2,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,3,1,0,0,0,2,0,0,0,1,0,0,0,2,0,C1C2OC3=C(C=CO3)C12
0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,2,0,0,1,0,1,0,0,2,0,1,0,1,0,0,1,2,0,C1C2OC3=C(N=CN3)C12
0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,3,1,1,0,0,2,0,0,0,1,0,0,1,2,0,C1C2OC3=C(NC=C3)C12
0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,2,0,1,0,2,0,1,2,0,1,0,0,2,0,0,0,1,0,1,1,2,0,C1C2OC3=C(NC=N3)C12
0,0,1,0,1,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,3,1,0,0,0,2,0,0,1,1,0,0,0,2,0,C1C2OC3=C(OC=C3)C12
1,0,2,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,3,0,0,0,1,0,0,1,2,0,C1C2OC3=C(OC=N3)C12
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,2,1,1,0,1,1,0,0,0,1,N=C1C=COC=C1C#N
0,0,0,1,1,2,1,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,2,1,1,0,1,0,0,0,0,0,c1cocc(c1=O)C#N
0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,1,0,1,4,0,0,0,0,2,0,0,1,0,N=C1NC2=C(O1)C=CO2
0,0,1,0,0,1,1,0,1,0,2,0,1,0,2,0,0,0,0,0,0,1,1,2,0,1,0,1,3,0,0,0,0,1,0,0,1,0,N=C1NC=C(CC#C)O1
1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,3,0,1,0,0,2,1,0,0,0,1,0,1,1,0,c1c(ncoc1=O)C#N
0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,0,1,0,1,1,1,0,0,0,1,1,c1cocc1C(=O)C=O
0,1,0,2,0,1,1,0,0,0,0,0,0,0,2,2,0,3,1,0,0,0,1,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,c1coc(c1C=O)C=O
0,0,0,1,0,1,2,1,0,0,0,0,1,1,2,1,0,2,1,0,0,0,0,3,1,0,0,0,2,1,1,1,0,0,0,0,0,0,c1coc(c1C#N)C=O
0,1,0,2,0,1,1,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,3,1,0,0,0,3,1,1,1,0,0,0,0,0,0,c1coc(c1C=O)C#N
1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,4,0,0,0,0,2,0,0,1,1,1,0,1,1,0,c1c(ncoc1=O)C=O
0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,2,0,1,1,0,2,0,1,1,0,N=C1OC(C=O)=CC=N1
0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,3,1,1,1,0,1,0,1,0,1,1,0,0,0,0,N=COCC1=COC=C1
0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,3,1,1,1,0,1,0,1,1,1,0,0,0,0,0,c1cocc1COC=O
1,0,0,0,0,0,1,1,0,1,0,0,2,0,1,1,1,0,1,0,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,1,OC(C#C)C1=CN=CN1
1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,1,1,1,0,1,0,0,0,0,1,CC(C#N)C1=COC=C1
1,0,0,1,0,1,1,0,1,0,0,2,0,0,1,1,0,0,0,1,0,0,0,3,1,0,1,1,2,0,1,0,0,1,0,0,0,0,CC(O)C1=C(C)C=CO1
1,0,0,1,0,2,0,0,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,1,1,0,0,2,0,0,1,0,1,0,0,1,0,CC(C)C1=COC(=N)N1
1,1,0,0,0,1,1,0,2,0,0,2,1,0,0,0,0,0,1,1,0,0,1,4,2,1,0,0,1,0,0,0,1,0,0,0,0,0,CC(C)Cc1ccco1
1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1,1,0,1,1,0,0,0,1,0,0,0,0,0,CC(O)CC1=CC=CO1
1,0,0,0,1,1,1,0,2,0,0,2,0,0,0,2,0,0,1,0,0,0,1,3,2,1,1,0,1,0,0,0,1,0,0,0,0,0,CC(C)Cc1ccoc1
0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,4,1,1,0,1,1,0,0,0,1,0,0,1,0,0,CC1(CN1)C1=COC=C1
0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,1,2,0,1,0,1,0,1,1,0,1,0,0,2,0,1,0,0,0,0,1,2,1,c1[nH]c(c(n1)C2CC2)O
2,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,1,0,1,0,1,0,0,Cc1c(nco1)CC#C
0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,1,1,2,1,1,0,0,0,1,0,1,0,0,4,0,0,1,0,1,0,0,1,0,CC1=C(OC(=N)N1)C=O
0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,2,3,1,0,0,0,2,1,0,1,0,1,0,0,0,0,Cc1c(cco1)CC=O
0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,3,1,0,0,0,2,1,0,1,0,3,0,0,0,0,Cc1ccoc1CC=O
0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,2,2,0,1,2,0,1,1,0,1,0,1,1,0,CC1=C(NC=C1)C1CN1
0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,3,1,1,0,0,2,0,1,0,0,1,0,1,1,0,CC1=C(NC=C1)C1CO1
0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,2,1,2,0,1,2,0,0,0,0,0,1,1,1,0,CC1=C(NC=N1)C1CN1
0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,2,1,0,1,2,0,0,0,0,1,0,0,1,0,CC1=C(OC=C1)C1CN1
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,3,0,1,0,0,3,0,0,1,1,1,0,0,1,1,NC1=COC(=N)NC1=O
0,2,0,0,0,1,1,1,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,4,1,1,0,0,3,0,0,0,0,1,0,0,0,0,Cc1c[nH]c2c1occ2
0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,3,0,1,0,0,1,0,0,0,0,Cc1c[nH]c2c1CCO2
0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,3,0,1,1,0,3,0,0,0,0,1,1,0,0,1,Cc1c[nH]cc1CC#C
0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0,1,2,0,1,0,0,2,1,0,1,0,2,1,0,0,1,Cc1c[nH]cc1CC=O
1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,1,1,0,1,0,CN1C=C(OC1=N)C=O
1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,1,1,0,0,0,0,2,1,0,1,0,0,1,0,1,0,Cn1cc(oc1=O)C=O
0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,2,0,2,0,2,0,0,1,2,1,0,0,0,2,0,0,0,1,2,1,1,0,0,CN1C=NC(=N)C(C)=C1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,5,1,1,0,0,2,0,0,0,0,1,1,1,0,0,CN1C=CC(=O)NC1=N
0,0,1,0,0,1,0,0,0,0,1,1,2,1,0,1,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,0,CN1C=NC(=C1)C1CO1
0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,2,3,1,0,1,0,2,0,0,0,1,1,1,1,0,0,Cn1cc(nc1)CC#C
0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2,2,1,0,0,0,2,1,0,0,1,1,1,1,0,0,Cn1cc(nc1)CC#N
2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,0,5,1,0,0,1,2,0,0,0,0,0,1,1,0,0,Cn1ccc2c1ocn2
1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,2,0,1,0,0,4,1,0,0,0,2,2,0,0,0,0,1,1,0,0,Cn1cnc2c1occ2
0,0,0,0,1,1,1,0,0,1,1,2,0,0,0,2,0,0,1,0,0,0,0,3,1,0,1,1,1,0,1,0,1,0,0,1,1,0,CC1CN1C1=COC=C1
0,0,1,0,0,0,0,0,0,1,2,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,2,0,1,0,1,0,0,2,1,0,CC1CCC2=C1N=CN2
0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1,1,0,CC1OCC2=C1N=CN2
0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,3,1,0,0,0,1,0,1,0,1,0,0,0,0,1,CCC(=O)c1ccoc1
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,3,1,0,1,1,1,0,0,1,1,0,0,0,0,1,OCC(O)C1=COC=C1
0,1,0,0,0,0,0,2,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,3,0,1,1,0,1,0,0,0,1,Cc1c[nH]c(c1NC)O
0,1,1,2,0,1,1,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,1,3,1,0,0,0,2,0,0,1,0,1,0,0,0,0,CCc1c(cco1)C=O
0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,1,0,1,0,2,0,0,1,0,2,0,0,0,0,c1coc(c1C=O)CO
0,0,1,1,0,1,3,0,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,CCc1c(cco1)C#C
0,0,1,1,0,1,2,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,3,1,0,0,0,2,1,1,0,0,1,0,0,0,0,CCc1c(cco1)C#N
0,0,1,0,0,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,1,0,1,0,2,1,1,0,0,2,0,0,0,0,c1coc(c1C#N)CO
1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,2,2,0,0,1,0,2,0,1,1,0,1,0,1,0,0,CCc1c(nco1)CO
1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,1,2,0,0,1,0,2,0,1,1,0,0,0,1,0,0,COc1c(nco1)CO
0,1,0,1,0,0,1,0,0,1,1,1,2,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,1,0,0,0,0,1,0,0,CCc1c([nH]cn1)C#C
0,0,0,1,0,0,0,1,0,1,1,1,2,0,2,0,0,0,0,1,1,0,2,1,0,1,0,0,2,1,1,0,0,0,0,1,0,0,CCc1c([nH]cn1)C#N
0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,0,2,1,1,1,0,1,1,0,2,1,1,0,0,0,0,1,0,0,C#Cc1c(nc[nH]1)CO
0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,1,2,0,2,1,0,1,1,0,2,2,1,0,0,0,0,1,0,0,c1[nH]c(c(n1)CO)C#N
1,0,0,2,0,1,0,0,0,0,1,1,0,0,1,1,0,2,1,0,0,0,1,2,0,0,0,0,2,0,1,2,0,0,0,1,0,0,CCc1c(ocn1)C=O
0,0,0,1,0,1,1,0,0,0,0,1,0,0,2,1,0,2,2,0,1,0,0,3,1,0,0,0,2,0,0,1,0,0,1,0,1,0,COc1ccoc1C=O
1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1,0,1,0,1,2,0,0,1,0,2,0,1,2,0,0,0,1,0,0,c1nc(c(o1)C=O)CO
1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4,1,1,2,0,2,0,0,0,0,1,0,0,1,0,OCC1=CC(=N)OC=C1
2,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,2,1,1,0,1,2,0,0,0,0,2,1,1,0,0,0,1,0,0,0,Cn1cc(oc1=O)OC
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0,1,1,0,2,2,0,1,1,0,2,0,1,0,0,1,1,0,0,0,Cn1cc(cc1N)CO
1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,2,3,1,1,0,2,0,0,0,1,0,0,1,0,0,CNc1ccc(o1)CO
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,4,2,1,0,0,2,0,0,0,1,2,1,0,0,0,CCc1ccc(=O)oc1
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,4,2,1,1,0,2,0,0,0,1,2,0,0,0,0,c1cc(=O)occ1CO
0,0,0,1,0,0,0,0,0,0,0,2,1,2,1,2,1,2,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,CCn1cncc1C=O
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,3,1,0,1,1,2,0,0,0,0,2,0,0,0,0,Cc1ccoc1CCO
0,0,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,1,3,1,0,0,0,2,0,1,0,0,2,0,1,0,0,Cc1ccoc1COC
0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,2,3,2,1,1,0,1,1,1,0,1,0,0,0,0,0,CCOCc1ccoc1
0,0,0,0,2,1,0,1,0,0,3,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,3,0,N#CC12CC1CC1CC21
0,0,1,0,1,2,1,1,1,0,2,0,1,1,0,1,1,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,1,0,N#CC12CC(CO1)C=C2
0,0,1,1,0,1,1,0,1,1,4,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,C#CC12CCC(CO1)C2
0,0,1,1,0,1,0,1,1,1,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,N#CC12CCC(CO1)C2
0,0,0,1,0,2,0,1,0,0,3,2,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,N#CC12CCC1N=CN2
0,1,0,1,1,0,1,1,0,0,1,0,2,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,3,0,C#CC1=CC2C3CC1N23
0,1,1,0,1,1,1,2,0,0,2,0,2,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,C#CC1=CC2CC1CO2
1,1,1,0,0,2,1,1,0,0,1,0,2,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,C#CC1=CC2COC1O2
0,1,1,0,1,1,0,3,0,0,2,0,2,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,N#CC1=CC2CC1CO2
0,1,1,0,0,1,1,1,1,0,2,0,2,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,C#CC1=CC2COC2C1
0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,1,1,1,0,1,0,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,C#CC1=CC=CCCC1
0,1,1,0,2,0,1,0,0,0,3,0,1,0,1,0,0,1,0,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,C#CC1=CCC2CC1C2
0,1,0,0,1,1,1,0,2,0,2,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,C#CC1=CCOC2CC12
0,0,1,2,1,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,2,0,0,0,5,0,C#CC1C2C1C1CCC21
0,0,1,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,2,0,0,2,0,0,0,5,0,C#CC1C2C3CC1CC23
1,0,1,0,2,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,5,0,C#CC1C2C3CC1OC23
1,0,0,0,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,5,0,N#CC1C2C3CC1OC23
0,0,1,2,2,0,1,0,0,0,2,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,5,0,C#CC1C2C3CCC1C23
0,0,2,0,1,1,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,1,0,0,0,5,0,C#CC1C2C3OCC1C23
0,0,0,2,1,1,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,1,0,0,5,0,N#CC1C2C3CCC1C23
0,0,1,2,3,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,5,0,C#CC1C2C3CCC2C13
1,0,2,0,2,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,4,0,C#CC1C2CC(C#C)C12
1,0,1,0,2,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,4,0,C#CC1C2CC(C#N)C12
1,0,1,0,1,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,4,0,C#CC1CC2C(C#N)C12
0,0,1,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,3,0,0,0,0,0,0,3,0,C#CC1C2CC1C=CC2
1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,2,0,0,0,0,0,0,3,0,C#CC1C2CC=CC1O2
1,0,1,1,1,1,1,0,2,0,3,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,C#CC1C2CCCC1O2
3,0,3,1,1,2,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,C#CC1C2COCC1O2
1,0,0,1,0,2,0,1,2,0,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,2,N#CC1C2CCCC1O2
2,0,1,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,2,0,0,0,5,0,C#CC1C2CC3CC1C23
2,0,1,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,2,0,0,0,5,0,C#CC1C2CC3OC1C23
2,0,0,0,2,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,2,0,0,0,5,0,N#CC1C2CC3CC1C23
2,0,0,0,1,2,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0,0,5,0,N#CC1C2CC3OC1C23
0,0,1,0,3,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,1,0,0,2,0,0,0,5,0,C#CC1C2CC3CC2C13
0,0,1,0,3,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,0,C#CC1C2CC3CN2C13
1,0,1,0,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5,0,C#CC1C2CC3OC2C13
1,0,1,0,2,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5,0,C#CC1C2OC3CC2C13
