ecfp_feature_1,ecfp_feature_4,ecfp_feature_15,ecfp_feature_33,ecfp_feature_36,ecfp_feature_64,ecfp_feature_73,ecfp_feature_80,ecfp_feature_90,ecfp_feature_114,ecfp_feature_121,ecfp_feature_128,ecfp_feature_136,ecfp_feature_138,ecfp_feature_147,ecfp_feature_175,ecfp_feature_216,ecfp_feature_219,ecfp_feature_237,ecfp_feature_255,ecfp_feature_283,ecfp_feature_301,ecfp_feature_310,ecfp_feature_314,ecfp_feature_322,ecfp_feature_333,ecfp_feature_356,ecfp_feature_361,ecfp_feature_378,ecfp_feature_386,ecfp_feature_389,ecfp_feature_407,ecfp_feature_428,ecfp_feature_429,ecfp_feature_456,ecfp_feature_484,ecfp_feature_486,ecfp_feature_511,ecfp_feature_512,ecfp_feature_561,ecfp_feature_650,ecfp_feature_656,ecfp_feature_659,ecfp_feature_695,ecfp_feature_698,ecfp_feature_699,ecfp_feature_718,ecfp_feature_726,ecfp_feature_730,ecfp_feature_739,ecfp_feature_741,ecfp_feature_767,ecfp_feature_807,ecfp_feature_809,ecfp_feature_816,ecfp_feature_831,ecfp_feature_841,ecfp_feature_842,ecfp_feature_849,ecfp_feature_875,ecfp_feature_881,ecfp_feature_893,ecfp_feature_896,ecfp_feature_904,ecfp_feature_926,ecfp_feature_935,ecfp_feature_985,ecfp_feature_1019,pic50,smiles
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,2,1,1,0,1,9,0,0,0,0,0,0,0,2,0,1,0,0,1,2,3,1,0,0,1,0,2,2,0,1,1,1,0,1,0,0,0,6,4,2,1,0,1,5,1,0,1,7.98,Fc1cc2C(=O)C=C(Oc2cc1Cl)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3
0,0,0,1,0,2,0,0,4,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,9,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,11,0,0,0,2,1,3,1,0,2,6.5,Cn1cc(cn1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cc6
1,0,0,0,0,6,0,1,0,1,0,2,0,0,0,4,0,1,2,0,0,2,0,0,0,0,5,0,0,0,2,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,1,1,1,1,0,0,0,0,17,0,0,1,0,3,4,2,0,1,5.42,FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)NC(c4ccccc4)c5ccccc5)c2
0,0,1,0,0,3,0,2,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,4,3,0,0,5.5,Clc1cccc(c1)N2CCN(CCN3Cc4ccccc4C3)C2=O
0,1,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,1,0,1,0,5,0,0,0,5.28,NC1=NC2(CO1)c3cc(ccc3OCC24CCC4)c5cncnc5
0,1,0,1,0,2,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,6,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6,1,1,1,0,0,0,0,1,0,0,8,0,0,0,0,1,4,2,0,1,6.14,CN1CCC[C@H](C1)c2nc3ccccc3n2Cc4ccc(F)cc4
0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,1,1,6,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,2,6,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,8,2,0,2,5.0,CC1=Nc2ccccc2C(=O)N1c3ccc(OC4CCN(CC4)C5CCCC5)cc3
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,3,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,5.51,CNCc1cc(Cl)ccc1Oc2ccc(Cl)c(Cl)c2
1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,1,0,4,0,1,0,2,0,0,0,4,0,0,0,0,2,1,0,2,1,0,0,1,4,0,0,0,1,2,0,0,0,0,1,8,1,0,1,0,0,8,2,0,2,4.5,OC(=O)C(N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4
0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,3,1,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,8,1,0,1,0,0,4,1,0,3,5.82,NC(=O)c1cncc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1
1,0,0,3,0,3,0,2,1,0,1,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,4,0,1,1,0,0,3,0,0,1,4.7,CCCN([C@H]1CCNC1)C(=O)c2ccccc2C(C)C
0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,6,2,0,0,1,1,0,0,0,0,0,7,1,0,1,0,0,5,2,1,0,5.89,[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc4C(=O)OCc4c3)cc1
1,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,4,0,0,0,3,0,0,0,0,2,0,1,1,0,1,1,0,0,0,4,0,2,0,1,2,0,0,0,0,0,8,0,1,1,0,0,2,2,0,1,5.1,OC1CN(C[C@H](Oc2ncnc3c2cnn3c4c(Cl)cccc4C#N)C(=O)Nc5ccc(cn5)C#N)C1
0,0,2,2,0,2,1,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,8,0,1,0,1,1,0,0,4,2,0,0,0,0,1,1,0,0,1,0,0,6,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,5,3,0,0,5.3,CN1C(=O)COc2c(CCCN3CCN(CC3)c4cccc5nc(C)ccc45)cccc12
0,0,0,1,0,2,0,2,1,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,1,2,0,0,0,0,0,7,1,0,1,0,0,2,1,0,0,5.32,Cc1[nH]c2ccccc2c1CCN3Cc4ccc(\C=C\C(=O)NO)cc4C3
0,0,0,2,1,2,0,2,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,9,0,2,1,2,0,4,0,0,0,5.1,CCN(CC)C(=O)c1ccc(cc1)C2=CC3(CCNCC3)Oc4ccccc24
0,0,1,2,1,4,1,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,7,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,1,0,0,0,1,0,0,10,0,1,0,0,0,3,2,0,1,5.3,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccccc6)n3C
0,3,0,1,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,2,0,3,0,0,8,0,2,0,0,0,2,1,2,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,1,1,0,0,0,0,0,1,9,1,0,0,0,0,9,3,0,1,6.0,O=C1C2(N(C(=O)N1c3ccc(cc3)C4CCCCC4)C5=CC(=O)N=CN5)CCN(Cc6c(cccn6)C)CC2
0,0,0,0,1,3,0,1,1,0,0,1,2,2,1,2,0,0,0,0,0,0,0,1,0,0,7,1,1,0,1,1,1,0,2,0,1,1,0,0,2,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,11,1,0,1,1,0,5,1,0,0,5.5,Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CC3)CNC(=O)O4)c5ccccc5
0,0,0,1,0,2,0,3,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,2,0,1,0,1,0,1,2,0,1,0,1,0,4,0,0,0,1,1,0,1,0,1,0,7,1,0,1,0,1,4,1,0,0,4.8,COc1cc(NC(=O)c2ccccc2F)ccc1c3oc(NCCCN4CCOCC4)nn3
0,2,1,1,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,5,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,5,1,0,1,0,0,4,0,0,2,5.2,Cc1cccc(Nc2nc(N[C@H]3CCCC[C@H]3N)ncc2C(=O)N)c1
1,0,1,2,0,5,1,2,0,0,1,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,1,0,0,1,0,0,9,0,0,1,0,0,4,2,0,3,5.82,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@H](C2)n3c(C)nc4ccccc34)c5ccccc5
0,0,0,0,1,3,0,2,1,1,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,4,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,8,2,0,0,0,3,6,0,0,1,5.26,FC(F)(F)c1cc(COCC2(CCNCC2)c3ccccc3)nc(c1)C4CC4
0,0,0,1,0,3,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,5,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,6,2,0,2,0,1,0,0,0,0,0,11,0,0,0,0,0,2,2,0,2,6.72,C(#N)c1ccc(cc1)Cn2c(cnc2)C[NH+](C3C(=O)N(Cc4ccccc4)CC3)CCCC
0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,3,0,0,1,2,0,4,2,0,2,1,1,1,0,1,1,0,0,0,3,0,0,1,0,1,0,0,1,1,0,9,1,1,1,0,0,4,3,1,1,4.8,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CC5)C(=O)N(C)C
0,0,0,0,0,3,0,2,1,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,2,0,9,1,1,0,1,0,1,0,4,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,1,1,1,0,0,0,0,0,10,2,0,1,0,0,5,2,1,0,5.27,NC(=O)N1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6)c2)CC1
0,0,2,1,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,3,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,1,1,3,8,0,0,0,0,0,0,1,1,1,0,14,1,0,0,0,1,0,0,0,0,6.3,COc1ccc(cc1)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5
0,0,0,0,1,5,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,3,0,0,2,5.96,FC1C(c2c(-c3ccccc3)[nH]c4c2cccc4)C[NH2+]CC1
0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,2,0,1,2,0,0,2,0,0,0,0,4,0,0,1,1,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2,1,4,0,0,0,1,0,0,1,0,0,0,8,1,0,0,0,2,4,1,0,1,6.0,Fc1ccc(CCN2CCC(CC2)S(=O)(=O)c3ccccc3)c(F)c1
0,0,1,2,0,5,0,3,1,0,1,0,2,0,0,3,0,0,2,0,0,2,2,0,0,0,11,0,6,1,1,1,2,0,6,2,0,1,0,0,0,0,1,0,0,0,0,7,1,0,1,2,0,0,0,3,0,1,15,1,1,0,2,0,8,3,0,1,5.68,CN(C)CCN1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5
0,0,0,0,0,4,0,3,0,1,1,1,0,0,0,3,0,1,0,1,0,0,2,1,0,0,6,0,1,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,1,1,0,0,0,1,12,0,0,1,0,3,0,1,0,1,5.07,FC(F)(F)c1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c4ccccc24)cc1
0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,4,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,1,0,0,0,0,8,2,0,1,1,1,2,0,0,0,0,8,0,1,1,0,3,4,1,0,3,5.52,CN(C1CCN(Cc2ccc(cc2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)S(=O)(=O)C
1,1,1,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,8,0,3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,2,1,0,4,0,1,0,0,0,0,0,1,1,1,8,1,0,0,0,0,4,3,0,1,4.3,COc1cccc(c1)n2cc3N=C(N(C[C@H]4CCCN(C4)C(C)C)C(=O)c3n2)c5cccnc5C
0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,5,0,0,0,1,0,2,0,2,0,0,0,0,0,1,1,0,2,0,0,2,8,1,0,0,1,0,0,0,0,0,0,12,1,0,0,0,0,4,2,0,0,8.0,O=C1C=C(OCc2ccccc2)C=CN1c3ccc(OCCN4CCOCC4)cc3
0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,3,1,1,0,6,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,1,1,0,0,2,5,1,0,1,1,0,0,0,1,0,1,7,0,0,0,0,0,7,2,0,1,5.0,O=C1CCCN1C2CCN(Cc3ccc(Oc4nc5ncccc5s4)cc3)CC2
1,3,1,0,1,0,0,2,1,0,1,2,0,2,2,0,1,0,0,0,0,0,1,0,0,1,5,0,2,0,0,1,2,0,4,0,0,0,0,1,1,0,1,0,0,0,0,5,0,1,0,1,1,0,2,0,0,0,7,0,0,1,0,0,9,2,0,0,4.53,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCN4CCCCC4)c5ccc(Cl)cc5
1,0,0,0,0,5,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0,2,0,0,0,0,6,1,3,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,1,0,0,3,0,0,11,0,0,1,0,0,5,1,1,3,5.59,O=C(NC1CC1c2ccccc2)N3CCC(CC3)c4onc(n4)c5ccc6ccccc6n5
0,0,0,1,1,4,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,5,1,1,3,0,0,0,0,4,1,0,0,1,0,1,0,0,2,0,0,0,6,0,0,1,1,1,0,0,0,1,2,12,0,0,1,0,0,8,2,1,0,7.34,COc1ccccc1Oc2ccccc2CN3CCC4(CC3)CCN(CC4)C(=O)c5ccncc5
0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,7.28,CCCCCCCN(CC)CC#CCCc1ccc(Cl)cc1
1,0,0,3,0,2,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,5.3,CC(c1nccs1)c2c(CCN(C)C)sc3ccccc23
0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,7,1,0,0,1,0,3,2,0,2,7.9,CN1C[C@@H]2C[C@H]1CN2c3cnc(cn3)c4ccc5[nH]ccc5c4
0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,2,0,2,0,0,2,0,0,0,0,5,1,0,0,0,0,0,3,2,0,1,0,0,2,1,0,2,1,0,0,0,2,1,0,1,1,1,1,0,0,0,0,7,4,0,1,0,3,4,1,0,1,6.32,FC(F)(F)c1cccc(CN2CCC(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)c1
0,1,0,0,0,3,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,0,1,0,1,0,0,0,5,1,0,0,0,2,1,0,3,0,0,0,0,4,1,1,1,2,1,0,0,0,0,0,8,1,0,1,0,0,8,3,1,1,6.25,Clc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(Cc4ccccc4)C3)CC2)cc1Cl
0,0,1,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,0,2,3,0,0,1,3,0,0,1,1,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,9,0,1,1,0,3,2,0,0,1,5.2,FC(F)(F)CCOc1ccc(cn1)C(=O)N[C@@H]2COc3cccc(c3C2)c4cncnc4
0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,7,2,1,0,1,1,1,0,1,0,2,1,0,2,3,0,2,0,0,0,0,8,0,1,0,0,5,0,2,0,0,0,10,1,0,3,0,0,4,1,1,1,5.0,OC(=O)C1CCCN(C1)C(=N)c2ccc(cc2)C(=O)Nc3ccc(Cl)cc3C(=O)Nc4ccc(Cl)cn4
1,0,0,0,0,2,0,3,3,0,1,0,0,0,0,2,1,0,2,0,0,2,0,1,0,0,7,0,0,4,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,10,0,1,0,1,0,0,0,0,0,0,12,0,0,0,0,2,4,2,0,1,7.3,Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5
1,0,0,7,0,0,0,6,2,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,8,1,0,4,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,2,0,8,0,2,0,1,1,0,0,0,1,0,10,2,0,2,0,2,3,1,0,1,7.0,COc1c(cc(cc1C(C)(C)C)C(=O)NCC2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2)C(C)(C)C
0,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,7,0,3,0,0,0,3,3,2,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,2,1,0,1,0,0,0,0,8,0,0,0,0,4,4,2,0,1,6.5,Fc1c(Cn2ccc3c(OC4CCN(Cc5cscn5)CC4)ncnc23)cccc1C(F)(F)F
0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,2,0,0,2,0,1,0,1,7,0,0,2,0,0,0,0,3,0,0,0,0,1,1,0,1,0,0,1,0,6,0,0,0,1,0,0,1,0,0,1,8,1,0,0,0,1,6,4,0,1,7.85,Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,1,0,4,2,0,0,0,1,2,0,1,1,0,0,2,8,0,0,0,1,1,0,2,0,0,0,8,0,0,0,0,0,4,2,0,0,6.3,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CN2CCN(CC2)c3ccc(Cl)cc3)cc1
0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,7,0,1,0,1,1,0,0,2,0,0,0,1,0,2,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,1,0,2,1,0,1,0,1,6,2,0,2,3.9,COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,0,0,1,3,3,2,1,0,2,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,1,2,0,0,0,5,1,0,0,0,4,3,2,0,1,4.96,C[C@@H]1CN(CCN1c2ncc(OCc3ccc(cc3F)C#N)cn2)c4oc(nn4)C(F)(F)F
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,5,1,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,1,2,8,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,1,10,3,1,2,4.5,C(=O)(c1ccc(F)cc1)N2CC(=O)N(c3ccc(OC4CCN(C5CCC5)CC4)cc3)CC2
0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,6,0,2,0,0,1,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,1,0,0,1,0,9,2,0,1,3.49,O=C1C=CC(c2cc3c(nc(N4CCC(N5CCCCC5)CC4)s3)nc2)=CN1
0,0,0,3,0,0,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,1,2,0,4,2,1,1,0,0,1,0,0,2,1,1,0,2,0,0,0,0,1,0,1,0,1,0,6,3,0,2,0,1,4,2,0,0,4.52,COCCOc1cc2ncc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCN(C)CC4
